"username","tweet","twt_source","activity","verified","country","followers","isfake"
"VegSaagar","Protect yourself and your loved ones from the coronavirus.
Source - World Health Organization

#instagram #news #repost #stayathome #follow #viruscorona #instagood #washyourhands #lockdown #coronavirusoutbreak #india #fitness #stayhealthy #photooftheday https://t.co/o1amQCv8rA","Normal","Normal","NO","India","Low","NO"
"ConstWeekIndia","Construction Week organised its first of a series of webinars on April 22. The accolades are still flowing in 
Read More: https://t.co/y7OxcQ9M6X 
#construction #constructionweek #news #businessnews #projects #india #technology","Suspecious","Normal","NO","India","Medium","NO"
"betterjobsearch","NHAI kick-starting big-ticket road infra projects 
Read More: https://t.co/XKhDe7KyKv 
#construction #constructionweek #news #businessnews #projects #india #technology @NHAI_Official  @NHAI  @National Highway Authority Of IndiaÊ(Nhai)","Suspecious","Normal","NO","United States of America","High","NO"
"latestlaws","J&amp;K High Court denies bail to accused in J-K bank multi crore loan scam
#Law #Latest #LatestLaws #LegalNews #India #IndianNews #News #Legal #JammuKashmir #banking #loan #scam 
https://t.co/CNrKZkaRw6","Normal","Normal","NO","India","High","NO"
"latestlaws","States request use of ESI fund for wages amid Covid-19 lockdown
#Law #Latest #LatestLaws #LegalNews #India #IndianNews #News #Legal #lockdownextension #fund #Covid_19 #wagesubsidy #Lockdown2 
https://t.co/mCN3JhIC94","Normal","Normal","NO","India","High","NO"
"ashoksharma81","MARKET OUTLOOK 
https://t.co/t36k4sQp4Y

#thursday #thursdayvibes
#banknifty #trading #stocks #stockmarket #news #gold #silver #coronavirus 
#Nifty #equity 
#portfolio #markets #research #results #daytrading #finance #investments #intraday #India #stockstowatch
#StocksToTrade","Normal","Normal","NO","India","Medium","NO"
"sakaltimes","Rupee rises 41 paise to 76.27 against US dollar in early trade.

https://t.co/vxEcwy2e7w 

#Sakal #SakalNews #viral #ViralNews #SakalTimes #news #economy #market #India #business #money #finance #StockMarket","Normal","Normal","NO","India","High","NO"
"Dazeinfo","Having access to personal and behavioural information of over 330 million internet users in India, both the companies could change the entire digital landscape of India  - Dazeinfo https://t.co/CDL2cCcnVt @Facebook @reliancejio #telecom #india #news #investment #fdi #tech","Suspecious","Normal","NO","India","High","NO"
"Anshuma41971491","Latest Business #News , Stay Tuned For More News |#iindianentrepreneur 
#business #COVID19  #Startups  #market  #revolution   #startnow  #changemakers  #Entrepreneurs  #innovators  #growwithus  #startupnews  #news  #india #indiafightscorona https://t.co/rF7xXbTjcp","Normal","Normal","NO","India","Medium","NO"
"Gizchina","Facebook invests $5.7 billion Indian carrier Jio #Facebook #Jio #India #news https://t.co/LA5bZoaeLD https://t.co/WtZZqluVrz","Suspecious","Normal","NO","PRC","High","NO"
"latestlaws","Now Dial 100 if Landlord asks for Rent, reprieve for Workers
#Law #Latest #LatestLaws #LegalNews #India #IndianNews #News #Legal #RentStrike #workers #Landlords 
https://t.co/tcGgyjxRpC","Normal","Normal","NO","India","High","NO"
"Mr_Singh86_","When some #SoldMedia News Anchor says in end ⤵️ 

Chahe Bakki channel yeh NEWS chodd dain , Par hum nahi choddenge ..
What does that actually mean 🤔 

#News #India  

@DesiStupides","Normal","Normal","NO","India","High","NO"
"monkeypreneur","For protector of #freespeech @PrakashJavdekar's grieving soul.
#news #media #journalism #democracy #India https://t.co/jTJKE1F1zs","Normal","Normal","NO","India","Medium","NO"
"ashoksharma81","PM and FM 
maintenaning distance 

#pm
#Sachin
FridayMotivation 
#banknifty #trading #stocks #stockmarket #news #gold #silver #coronavirus 
#Nifty #equity 
#portfolio #markets #research #results #daytrading #finance #investments #intraday #India #stockstowatch
#StocksToTrade https://t.co/ynE2jEVYVL","Normal","Normal","NO","India","Medium","NO"
"Tax_Rodo","#MarkZuckerberg lead Facebook will invest ₹43,574 cr into Jio Platforms for a 9.99% stake. The investment will value #RelianceJio Platforms at ₹4.62 lakh cr. 

#business #startup #startupindia #india #TechnologyNews #ROC #fintech #NEWS #Facts #UPDATE #branding #JioFacebook https://t.co/8hthvMgkPB","Normal","Normal","NO","India","Low","NO"
"gyanprakash277","Happy Earth Day

#EarthDay2020 #news #India https://t.co/D9Y10PoLyq","Normal","Normal","NO","India","Low","NO"
"Tax_Rodo","Maruti not to start production due to non-availability of components as most of their vendors are in red zones or containment zones &amp; retail outlets have not been opened yet.

#business #startup #startupindia #india #ROC #fintech #NewsPicks #NEWS #Facts #UPDATE #branding #COVID19 https://t.co/cDOtNU7AFj","Normal","Normal","NO","India","Low","NO"
"cybersec_feeds","#DucklingSchool #DailyNews
#FBI sees about 300% #jump in #daily #cybersecurity #complaints #amid COVID-19
https://t.co/FaIUyBoTB4
Contact- 917728058028 can, 919887900369
#India #News #BestSchool #RBSESchool #PrimarySchool #SeniorSecondarySchool #PlayGroupSchool #DummySchool #Oxfo https://t.co/n5yBjPTkT3","Suspecious","Normal","NO","Haiti","High","NO"
"has2912","Hear this line on many #news channel nowadays only news no shouting or noise request y dont say it clear n loud @republic n @Republic_Bharat is noisy without any news or content the noise that curb voice of #opposition poor n weak people of #India It works as shield to #ModiGovt https://t.co/pkh3as7ntJ","Normal","Normal","NO","India","Medium","NO"
"AjinkyaPrabhu01","Modi passed an ordinance for action against people indulging in violence against Medico community. That was quick! And welcome!

How about passing a law as quick against #moblynching 
#HateCrime #HateNews #News #Muslim #Hindu #India 
🙏🏽","Normal","Normal","NO","India","Low","NO"
"latestlaws","Competition Commission Panel needs to clear the Facebook-Reliance deal
#Law #Latest #LatestLaws #LegalNews #India #IndianNews #News #Legal #Facebook #Competition #RelianceJio #FacebookRelJiodeal #FacebookJio #RelianceIndustries 
https://t.co/QPqKcklS3q","Normal","Normal","NO","India","High","NO"
"RanaPrasunita","We're coming Live on Instagram Tonight at 7. Do join us for an erudite discussion with @BBTheorist. See you guys there!
#HCQ #Hydroxychloroquine #InstagramLive #LIVE #India #Diplomacy #News https://t.co/HaacANznrt","Normal","Normal","NO","India","High","NO"
"sakaltimes","#TapseePannu recalls the incident that changed the way she perceived herself.

#Sakal #SakalNews #viral #news #SakalTimes #India #celebirt #lifestyle #celebritylife #films #actress #actor #Bollywood

https://t.co/Iq9jKrvFRd","Suspecious","Normal","NO","India","High","NO"
"sakaltimes","Death count reaches 681 in India due to #Covid19; total number of cases rises to 21,403 while 4,257 have recovered. 

https://t.co/n7sv7AsbsY

#Sakal #SakalTimes #SakalNews #viral #news #ViralNews #NCR #ViralNews#coronavirus #Covid_19india #India #StayHomeSaveLives #StayAtHome https://t.co/fFe707U3SV","Suspecious","Normal","NO","India","High","NO"
"Kabirkh56745894","I invite all newspapers and international channels to stand against the violations of the #RSS terrorist gangs in India. 

@cnnbrk @BBCWorld @CNBC @NBCNews 

#RSSTerrorists #Indian #India #tv #news #Islamophobia_In_India https://t.co/mK5bJkUBNz","Normal","Normal","NO","India","Low","NO"
"ashoksharma81","MARKET OUTLOOK 
https://t.co/P5ukaNfe3u

#jio #Facebook
#MukeshAmbani
#banknifty #trading #stocks #stockmarket #news #gold #silver #coronavirus 
#Nifty #equity 
#portfolio #markets #research #results #daytrading #finance #investments #intraday #India #stockstowatch
#StocksToTrade","Normal","Normal","NO","India","Medium","NO"
"DavidSalem05","Apple to begin online sales in India this year, open first retail store in 2021 https://t.co/8HprKidfsv 👳  #Apple  #News  #India 🍎 🍏®️ https://t.co/QU983aIO9J","Suspecious","Normal","NO","United Kingdom","Medium","NO"
"StartupNewsIND","#Zoom surpassed 300 million daily users on its platform despite privacy concerns. On April 1, Zoom announced it had exceeded 200 Mn daily users.

#business #startup #startupindia #india #TechnologyNews #ROC #fintech #NewsPicks #NEWS #Facts #UPDATE #branding #videoconferencing https://t.co/TIic0QhoMP","Suspecious","Normal","NO","India","High","NO"
"anmol_valecha","I was watching the news and suddenly saw this nurse from USA with TCS equipment. Tata Consultancy Services more respect than ever. @TCS

 #news #tcs #tataconsultancyservices #india #covid19 #coronavirus #coronaupdatesinindia https://t.co/QgERbkdMnb","Normal","Normal","NO","India","Low","NO"
"Ahmedsa49988150","US decision to stop Green cards granting for next 60 days is likely to impact thousands of Indians..
Read here⤵️
https://t.co/UYAhLliIxT
.
.
.
.
.
#TrumpPressBriefing #india #USA #Trump #news #dailynews #ImmigrationBan #currentaffairsnight #CAN https://t.co/nAI3PczRxO","Normal","Normal","NO","India","Medium","NO"
"jamesgnunes","SO, @airtelindia just launched a brand new bundle for ₹401 that includes 3GB data and 1 year Disney+ Hotstar VIP subscription.
https://t.co/ZyeL6rUi4Q
#Airtel #AirtelThanksApp #India #subscription #service #Hotstar #HotstarVIP #VIP #technews #news #media #lockdown","Normal","Normal","NO","India","Medium","NO"
"StartupNewsIND","Spintly Raises INR 1.9 Crore In Pre-Series A Round 

https://t.co/OPJELiUzQG

#business #startup #startupindia #india #TechnologyNews #ROC #fintech #NewsPicks #NEWS #Facts #UPDATE #branding #healthcare #investment #funding @Spintly2","Suspecious","Normal","NO","India","High","NO"
"JantantraTv","Jai Parkash Dalal - Haryana Agriculture and Farmers Welfare Minister on JantantraTV
https://t.co/TX9hoDB63F @JPDALALBJP #Hindi #breakingnews #India #news #HindiNews #hindinews","Normal","Normal","NO","India","High","NO"
"sakaltimes","Death toll due to #COVID19 reaches 640; number of cases rise to 19,984 in #India: Health Ministry

https://t.co/vxEcwy2e7w

#Sakal #SakalNews #viral #ViralNews #SakalTimes #news #Corona #COVID #COVID2019india #COVID #Covid_19","Normal","Normal","NO","India","High","NO"
"ShubhamDhingra5","We're coming Live on Instagram Tonight at 7. Do join us for an erudite discussion with @BBTheorist. See you guys there!
#HCQ #Hydroxychloroquine #InstagramLive #LIVE #India #Diplomacy #News https://t.co/HaacANznrt","Normal","Normal","NO","India","Medium","NO"
"ashoksharma81","Trailer : 3rd May 2020
🤣🤗🤐

#SaturdayMotivation
#lockdown
#banknifty #trading #stocks #stockmarket #news #gold #silver #coronavirus 
#Nifty #equity 
#portfolio #markets #research #results #daytrading #finance #investments #intraday #India #stockstowatch
#StocksToTrade https://t.co/JU9SwrA6oz","Normal","Normal","NO","India","Medium","NO"
"TheDevinaKaur","There is a difference between leaders who tell you “what to think” versus leaders who invite you to  “think for yourself” 

Delete anything and anyone that takes away your own power!

#SexyBrilliant  #WomenWhoCode #News     #India #PersonalDevelopment #Ego
🌸🙏🏼🌸

@TheDevinaKaur https://t.co/SsO4QSwC2I","Normal","Normal","NO","Canada","High","NO"
"Maruti_J_Pagar","#Sensex rises 210.24 pts to 30,846.95 in opening session; #Nifty advances 44.50 pts to 9,025.95.

https://t.co/OmwhBC7hi4 

#Sakal #SakalNews #viral #SakalMedia #news #trade #economy #market #StockMarket #business #India https://t.co/pV5a4lVz8Y","Normal","Normal","NO","India","High","NO"
"RocCityRetweet","#Zoom surpassed 300 million daily users on its platform despite privacy concerns. On April 1, Zoom announced it had exceeded 200 Mn daily users.

#business #startup #startupindia #india #TechnologyNews #ROC #fintech #NewsPicks #NEWS #Facts #UPDATE #branding #videoconferencing https://t.co/TIic0QhoMP","Suspecious","Normal","NO","United States of America","High","NO"
"JantantraTv","CPM Leader Prakash Karat Exclusive on JantantraTV with Vasindra Mishra
https://t.co/2rG80Xz1F8 @cpimspeak @vasindra_mishra @shukladeepali15 @ANJALI8447 #Hindi #breakingnews #India #news #HindiNews #hindinews","Normal","Normal","NO","India","High","NO"
"adiy_luv","Facebook and Jio coming together with a $5.7 Billion Deal.

https://t.co/Kdgv54L0GR
#Facebook #5G #JioFacebook #Jio #Trending #news #India #Corona #FridayFeeling #Billion #TechApprise #Blog #blogger #journalism","Normal","Normal","NO","India","Medium","NO"
"h_tejas","My first tweet. I'm a student of #Media and #Communication and am conducting a #research on the current health of #News Media in #India. I need to measure audience media literacy. I've attached the link to my survey. #Twitter, do your thing.
https://t.co/OcXvXUNRJW","Normal","Normal","NO","India","High","NO"
"betterjobsearch","Construction ban in NCR extended till 3 May 2020 
Read More: https://t.co/U0sJOY0EkD 
#construction #constructionweek #news #businessnews #projects #india #technology  #coronavirusupdates #covid19updates","Suspecious","Normal","NO","United States of America","High","NO"
"latestlaws","Delhi HC issues notice on plea raising concerns over possibility of central air-conditioning spreading COVID-19
#Law #Latest #LatestLaws #LegalNews #India #IndianNews #News #Legal #Delhi #highcourt #COVID19Pandemic 
https://t.co/QvuxEwtoZP","Normal","Normal","NO","India","High","NO"
"senitih","Differentiating marketing gimmicks and a real piece of News Information is a tough task in the present context! Winner will be the one who can do it more precisely. #India #news #MarketingStrategy #MarketingDigital #marketingtips #marketingonline  #Marketer #Digital","Normal","Normal","NO","India","Medium","NO"
"jamesgnunes","So, #OnePlus8 and #OnePlus8Pro Limited Edition Pop-up Box price start at Rs. 45,999 in India, which is just Rs. 1000 more than the official asking price of the device.
https://t.co/hMQqu4K8I6
#OnePlus8SeriesLaunch #OnePlus8Series #India #tech #technews #news #blog #blogger #media","Normal","Normal","NO","India","Medium","NO"
"ConstWeekIndia","Nashik Municipal Corporation permits construction at few building sites 
Read More: https://t.co/E1MmNZTgy8 
#construction #constructionweek #news #businessnews #projects #india #technology","Suspecious","Normal","NO","India","Medium","NO"
"StartupNewsIND","RT Dazeinfo ""The layoffs will continue for the next 12 months. What do you think would be the best course of action startup employees could take to keep the impact minimal?  - Dazeinfo https://t.co/vjqCs2cS0P startupindia Startup_Kar #layoff #COVID19 #startup #Jobs #india #news""","Suspecious","Normal","NO","India","High","NO"
"EB5Daily","EB-5 Program Exempt From President Trump’s Latest Temporary Immigration Suspension: https://t.co/VWBeQl3YdA #eb5 #immigrants #immigration #visa #greencard #news #trump #presidenttrump #eb5program #china #india #vietnam #southkorea #taiwan #usnews","Suspecious","Normal","NO","United States of America","Medium","NO"
"DelphyAutomati1","Think twice before sharing eye-catching  nonsense on social media !!

Visit: https://t.co/kIxweXVZpT

#Smart #homeautomation #india #world #lockdown #help #socialmedia #sharing #technology #holiday #home #stayhome #safetyfirst #google #news #TechTrends https://t.co/75cHyBDMFQ","Normal","Normal","NO","India","Low","NO"
"AlexTelman","#CORONISVIRUS, the #future of #protest

#AUSTRALIA #OZ #aussie
#News #NewsFlash
#SelfIsolated
#USA
#CoronavirusUSA
#COVIDー19
#coronavirusaustralia
#coronavirusuk
#COVID19 #india #italy
#COVIDIdiot #music #art #nyc #london #uk #qld #vic #nsw #Queensland
 https://t.co/yDNMoIIwxu","Normal","Normal","NO","Australia","High","NO"
"ExcubatorIndia","Global firms look to shift from China to India 
#Global #India #China #PostCovid19 #Industry #News #Manufacturing https://t.co/9cyWSrjVqv","Normal","Normal","NO","India","Medium","NO"
"siyabulela131","Dumisani Dlamini responds to claims he's never met his famous daughter, Doja Cat https://t.co/1H3pQQBavr via @TimesLIVE ❤LIKE AND 🔄RETWEET #news #covid #coronavirus #like #india #love #instagram #media #follow #music #viral #fashion #breakingnews #instagood #noticias #corona #s","Normal","Normal","NO","United States of America","Medium","NO"
"armaandeepsin10","Corona : With 1,684 new cases, the total tally in India crossed the 23,000
Full news:- https://t.co/2i3PhQikdD
.
.
#coronavirüsü #covid19 #india #punjab #chandigarh #delhi #ludhiana  #jalandhar #news #wmk #mohali #canada #america #pune #lucknow https://t.co/0Wy41rMGhO","Normal","Normal","NO","India","Low","NO"
"DevinaSarwatay","Such fantastic #news coming our way from @AdityaDeshbandu, #PhD senior turned friend.
His #first #book is coming out soon! And, as a (low-key) #gamer myself, I can't wait... Not much has been written on this topic in #India and I'm sure this book will #change it all! ⬇️ https://t.co/mVMI95pjwj","Normal","Normal","NO","India","Medium","NO"
"Juchtervbergen","#Facebook #Jio #India #news #gear Facebook buys 9.9 percent of India's biggest mobile network https://t.co/RcmwtGZrP6 https://t.co/dSP5AdjXbv","Suspecious","Normal","NO","The Netherlands","High","NO"
"patstagepage","Drama During COVID-19: How Theatre is Going Online #India #Theatre #News #Transmedia

https://t.co/XCJ4ROMEaC","Suspecious","Normal","NO","Canada","High","NO"
"viralvm69","The country’s prophylactic measures have led to a reduction in the #coronavirus disease doubling rate, #remittance flows into #India may decline by 23 percent in 2020 to $64 billion &amp; other top stories in your morning #news brief.
@htTweets #Covid_19 
https://t.co/AxRduB7UuP","Normal","Normal","NO","India","Medium","NO"
"ourporbandar","COVID-19 status in Gujarat - Details of new cases, deceased people and total cases City wise.
.
#ourporbandar #indiafightscorona #covid19 #porbandar #porbandarnews #news #newspaper #gujarat #gujarati #india #followme #likeforlike #followforfollow #photooftheday #nofilter #love https://t.co/TPfpbZajrl","Normal","Normal","NO","India","Low","NO"
"itzallabttech","The reports have included threats of extreme violence.
#news #covid #coronavirus #like #india #love #media #follow #viral #breakingnews #instagood #noticias #corona #politics #trending #repost #sports #indonesia #tv #business #berita #new #usa #info  #football #unitedstates https://t.co/6cfbAoP6ca","Suspecious","Normal","NO","United States of America","Low","NO"
"Dazeinfo","Analysts believe that the valuation of OYO could tank by 40% - 50% post-coronavirus outbreak. - Dazeinfo https://t.co/UDnhqKSsAy @oyorooms #news #tech #Jobs #india","Suspecious","Normal","NO","India","High","NO"
"gsb2041","#Kurukshetra #Dangal #TaalThokKar these are a few names of the programs on our #news #Channels in #India and not of any wrestling competition &amp; the presenters are as aggressive as a #Wrestler! #GodiMedia #पत्तलकार #JustSaying #CoronaWarriors #NewIndia ?","Normal","Normal","NO","India","Medium","NO"
"latestlaws","SC commutes death penalty of 2 convicts to life imprisonment in minor kidnapping, murder case
#Law #Latest #LatestLaws #LegalNews #India #IndianNews #News #Legal #SupremeCourtofIndia #minor #MurderMystery #death 
https://t.co/1j3ntMNX7L","Normal","Normal","NO","India","High","NO"
"fvaz","My first tweet. I'm a student of #Media and #Communication and am conducting a #research on the current health of #News Media in #India. I need to measure audience media literacy. I've attached the link to my survey. #Twitter, do your thing.
https://t.co/OcXvXUNRJW","Normal","Normal","NO","India","Medium","NO"
"sakaltimes","#Pune: How a SWaCH worker continues to combat all odds.

#Sakal #SakalNews #viral #news #SakalTimes #India #Corona #Covid19india #coronavirus #lockdown #COVID #Covid_19 #CoronavirusOutbreakindia 

https://t.co/lGnMl7clPY","Suspecious","Normal","NO","India","High","NO"
"divahinakhan_","Tiktok fun!
.
Share your reviews below in the comment section guys &amp; Keep sharing , liking , commenting on our posts!
.
Lots of love 
Team
 @eyedivahinakhan ❤
.
.
.
#india #mumbai #bollywood #news #hinakhan #akshara… https://t.co/LeG0Z73qON","Suspecious","Normal","NO","India","Medium","NO"
"sakaltimes","Death toll due to #COVID19 rises to 718; number of cases climb to 23,077 in #India: Health Ministry

https://t.co/vxEcwy2e7w 

#Sakal #SakalNews #viral #ViralNews #SakalTimes #news #Corona #COVID2019 #COVID #coronavirus #covidindia #lockdownextension","Normal","Normal","NO","India","High","NO"
"PINCInsurance","Post lockdown, employers must mandatorily provide medical insurance for employees.

#news #insurance #insurancebroker #healthinsurance #business #india https://t.co/ITlX4NRNAf","Normal","Normal","NO","India","Medium","NO"
"AmitKum96687408","Vlog 6 - Top 5 Tech news which you can't afford to miss|WHO|GatesFoundat... https://t.co/lVzz3w1KSP
#Tech #Updates #NEWS #Covid19 #Coronavirus #DevOps #SRE #DevSecOps #India #lockdown #Facebook #Jio #Reliance #WhatsApp #AMazon #JioMart #TCS #Israel #WHO #GatesFoundation","Normal","Normal","NO","India","Low","NO"
"ashoksharma81","WE ARE REALIZING THE NEXT MULTIBAGGAR CALL TOMORROW.

#FridayThoughts
#banknifty #trading #stocks #stockmarket #news #gold #silver #coronavirus 
#Nifty #equity 
#portfolio #markets #research #results #daytrading #finance #investments #intraday #India #stockstowatch
#StocksToTrade https://t.co/P1mfGlnROo","Normal","Normal","NO","India","Medium","NO"
"goreshubham1111","#Sensex rises 210.24 pts to 30,846.95 in opening session; #Nifty advances 44.50 pts to 9,025.95.

https://t.co/OmwhBC7hi4 

#Sakal #SakalNews #viral #SakalMedia #news #trade #economy #market #StockMarket #business #India https://t.co/pV5a4lVz8Y","Normal","Normal","NO","India","Low","NO"
"BBTheorist","We're coming Live on Instagram Tonight at 7. Do join us for an erudite discussion with @BBTheorist. See you guys there!
#HCQ #Hydroxychloroquine #InstagramLive #LIVE #India #Diplomacy #News https://t.co/HaacANznrt","Normal","Normal","NO","Vietnam","High","NO"
"vedant551","50 years of Earth Day.

#news #notd #nutshellbyquizzora #nutshellgk #nutshell #homequarantine #lockdown #stayhome #staysafe #coronavirus #novelcoronavirus #covid19 #india #earthday #earthday2020 #climatechange https://t.co/RwVWMIL6Cr","Normal","Normal","NO","India","Medium","NO"
"jagdeep_singh91","Maruti not to start production due to non-availability of components as most of their vendors are in red zones or containment zones &amp; retail outlets have not been opened yet.

#business #startup #startupindia #india #ROC #fintech #NewsPicks #NEWS #Facts #UPDATE #branding #COVID19 https://t.co/cDOtNU7AFj","Normal","Normal","NO","India","Low","NO"
"StartupNewsIND","#Startup #News April 24,   

1. #WhatsApp’s Struggles With #DigitalPayments Launch In #India Could End Next Month

2. #Facebook #Messenger #Kids Now Available In India
read more: https://t.co/pc7ahKwP0q

#entrepreneurs #technology #Startup #India #inclusion #Tech4GoodLiving","Suspecious","Normal","NO","India","High","NO"
"latestlaws","UNICEF issues Guidelines for Journalists working amid COVID-19 pandemic
#Law #Latest #LatestLaws #LegalNews #India #IndianNews #News #Legal #UNICEF #Journalist #pandemic 
https://t.co/lhhGciTS8B","Normal","Normal","NO","India","High","NO"
"Juchtervbergen","#Facebook #Jio #India #news #gear Facebook buys 9.9 percent of India's biggest mobile network https://t.co/RcmwtGZrP6 https://t.co/dSP5AdjXbv","Suspecious","Normal","NO","The Netherlands","High","NO"
"shinils","Thousands of #flamingos converge on Indian lake after #CoronavirusLockdown caused cleaner air and water 'and encouraged unusually high number of the birds to gather there' (video)
https://t.co/JYLu31xnxk
#Coronavirus #India #News","Normal","Normal","NO","India","High","NO"
"sharanu_ja","How so called (#BJP)journalist #ArnabGoswami started his own TV channels being an journalist!? I have heard that to start one #news TV channel ₹25-30 crores money is needed,Arnab has two news channels, where,how he earned this crores of money being an journalist!?😒😒 #india","Normal","Normal","NO","India","Medium","NO"
"latestlaws","Facebook buys 9.99% stake in Reliance Jio for ₹43,574 crore
#Law #Latest #LatestLaws #LegalNews #India #IndianNews #News #Legal #FacebookJio #FacebookJioDeal #facebookmarketing #Reliance #RelianceJio #RelianceFoundation 
https://t.co/GkZHFfvVf1","Normal","Normal","NO","India","High","NO"
"ConstWeekIndia","Reliance Infrastructure restarts toll operations at 10 road projects 
Read More: https://t.co/yDWEg2DOla 
#construction #constructionweek #news #businessnews #projects #india #technology @Reliance Infrastructure  @Reliance Industries Limited  @Reliance Industries Limited","Suspecious","Normal","NO","India","Medium","NO"
"sakaltimes","#Netflix adds 15.8 million new subscribers in the first quarter of 2020.

#Sakal #SakalNews #viral #news #SakalTimes #India #Movies #entertainment @NetflixIndia #lifestyle #business @netflix 

 https://t.co/h57JLPneGr","Suspecious","Normal","NO","India","High","NO"
"tusharmarghade","Top 5 English News Channels in India as per Viewership data from BARC 
Week 15 (2020)
#BARCIndia #BARC 
#RepublicTV  #ArnabGoswami #ArnabGoswamiAttacked #Arnab #ArnabVirus #Viewership #English #News #India #ArnabGoswamiAttacked https://t.co/BMNUxEz9XF","Normal","Normal","NO","India","Medium","NO"
"aditya10pathak","#TheGreat_CMYogi @myogiadityanath Ji #BestWishes All this happen in #UttarPradesh due to your Wisdom and Divine Gratitude towards serving Citizens. This #Video https://t.co/bnhxHY6A2q HH @govardhanmath Ji at your glance.🙏 #BREAKING #Facts #news #Newsnight #UPDATE #India #COVID19 https://t.co/9rUIC4sHnd","Normal","Normal","NO","India","Low","NO"
"StartupNewsIND","#Startup #News April 22

1. #Fintech company #YAP raises $ 4.5 million

2. #Remote #Training Startup Hone Scores $2.75M To Build Out Platform
read more: https://t.co/owmMH51Ovx

#entrepreneurs #technology #Startup #India #inclusion #Tech4GoodLiving #remotework #appdevelopment","Suspecious","Normal","NO","India","High","NO"
"jamesgnunes","So, the #OnePlus8Pro isn’t even on the market available for consumers, and it‘s already having some serious screen issues.
https://t.co/gQC0aDFDRh
#OnePlus #OnePlus8Series #India #China #tech #technews #news #media #electronics #blog #blogger #blogging #update #Amazon","Normal","Normal","NO","India","Medium","NO"
